,Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,OBJECTID,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site
0,Oxycodone,1.11,40.54,(1) Mon,0.01,0.26,(05) May,344,0,47.26,2018-05-14 03:00:00,TP04
1,Oxycodone,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,345,10000,9999.99,2018-05-15 03:00:00,TP04
2,Oxycodone,2.03,45.45,(3) Wed,0.01,0.32,(05) May,346,0,58.3,2018-05-16 03:00:00,TP04
3,Oxycodone,0.32,48.86,(4) Thu,0.0,0.33,(05) May,347,0,60.19,2018-05-17 03:00:00,TP04
4,Oxycodone,0.31,36.5,(5) Fri,0.0,0.22,(05) May,348,0,40.99,2018-05-18 03:00:00,TP04
5,Oxycodone,0.59,19.52,(6) Sat,0.0,0.11,(05) May,349,0,19.68,2018-05-19 03:00:00,TP04
6,Oxycodone,7.23,85.38,(7) Sun,0.04,0.47,(05) May,350,0,86.44,2018-05-20 03:00:00,TP04
7,Noroxycodone,0.86,51.42,(1) Mon,0.01,0.33,(05) May,351,0,59.94,2018-05-14 03:00:00,TP04
8,Noroxycodone,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,352,10000,9999.99,2018-05-15 03:00:00,TP04
9,Noroxycodone,0.84,55.61,(3) Wed,0.01,0.39,(05) May,353,0,71.32,2018-05-16 03:00:00,TP04
10,Noroxycodone,1.14,62.11,(4) Thu,0.01,0.42,(05) May,354,0,76.52,2018-05-17 03:00:00,TP04
11,Noroxycodone,1.15,47.38,(5) Fri,0.01,0.29,(05) May,355,0,53.21,2018-05-18 03:00:00,TP04
12,Noroxycodone,0.22,23.07,(6) Sat,0.0,0.13,(05) May,356,0,23.26,2018-05-19 03:00:00,TP04
13,Noroxycodone,9.32,81.43,(7) Sun,0.05,0.45,(05) May,357,0,82.43,2018-05-20 03:00:00,TP04
14,Codeine,1.69,40.92,(1) Mon,0.01,0.26,(05) May,358,0,47.7,2018-05-14 03:00:00,TP04
15,Codeine,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,359,10000,9999.99,2018-05-15 03:00:00,TP04
16,Codeine,1.02,31.81,(3) Wed,0.01,0.22,(05) May,360,0,40.79,2018-05-16 03:00:00,TP04
17,Codeine,3.26,52.59,(4) Thu,0.02,0.35,(05) May,361,0,64.78,2018-05-17 03:00:00,TP04
18,Codeine,0.34,49.53,(5) Fri,0.0,0.3,(05) May,362,0,55.62,2018-05-18 03:00:00,TP04
19,Codeine,0.35,23.14,(6) Sat,0.0,0.13,(05) May,363,0,23.33,2018-05-19 03:00:00,TP04
20,Codeine,10.7,86.58,(7) Sun,0.06,0.48,(05) May,364,0,87.65,2018-05-20 03:00:00,TP04
21,Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,365,-10000,-9999.99,2018-05-14 03:00:00,TP04
22,Fentanyl,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,366,10000,9999.99,2018-05-15 03:00:00,TP04
23,Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,367,-10000,-9999.99,2018-05-16 03:00:00,TP04
24,Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,368,-10000,-9999.99,2018-05-17 03:00:00,TP04
25,Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(05) May,369,-10000,-9999.99,2018-05-18 03:00:00,TP04
26,Fentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(05) May,370,-10000,-9999.99,2018-05-19 03:00:00,TP04
27,Fentanyl,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,371,-10000,-9999.99,2018-05-20 03:00:00,TP04
28,Norfentanyl,0.32,4.83,(1) Mon,0.0,0.03,(05) May,372,0,5.63,2018-05-14 03:00:00,TP04
29,Norfentanyl,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,373,10000,9999.99,2018-05-15 03:00:00,TP04
30,Norfentanyl,0.72,6.76,(3) Wed,0.01,0.05,(05) May,374,0,8.67,2018-05-16 03:00:00,TP04
31,Norfentanyl,0.43,6.46,(4) Thu,0.0,0.04,(05) May,375,0,7.96,2018-05-17 03:00:00,TP04
32,Norfentanyl,0.13,3.92,(5) Fri,0.0,0.02,(05) May,376,0,4.4,2018-05-18 03:00:00,TP04
33,Norfentanyl,0.0,4.49,(6) Sat,0.0,0.02,(05) May,377,0,4.52,2018-05-19 03:00:00,TP04
34,Norfentanyl,1.02,8.78,(7) Sun,0.01,0.05,(05) May,378,0,8.89,2018-05-20 03:00:00,TP04
35,Heroin,1.5,10.73,(1) Mon,0.01,0.07,(05) May,379,0,12.51,2018-05-14 03:00:00,TP04
36,Heroin,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,380,10000,9999.99,2018-05-15 03:00:00,TP04
37,Heroin,0.54,15.8,(3) Wed,0.0,0.11,(05) May,381,0,20.27,2018-05-16 03:00:00,TP04
38,Heroin,0.8,14.36,(4) Thu,0.01,0.1,(05) May,382,0,17.69,2018-05-17 03:00:00,TP04
39,Heroin,1.71,19.56,(5) Fri,0.01,0.12,(05) May,383,0,21.97,2018-05-18 03:00:00,TP04
40,Heroin,0.06,15.61,(6) Sat,0.0,0.09,(05) May,384,0,15.74,2018-05-19 03:00:00,TP04
41,Heroin,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,385,-10000,-9999.99,2018-05-20 03:00:00,TP04
42,6-Acetylmorphine,0.23,14.23,(1) Mon,0.0,0.09,(05) May,386,0,16.59,2018-05-14 03:00:00,TP04
43,6-Acetylmorphine,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,387,10000,9999.99,2018-05-15 03:00:00,TP04
44,6-Acetylmorphine,1.08,19.98,(3) Wed,0.01,0.14,(05) May,388,0,25.63,2018-05-16 03:00:00,TP04
45,6-Acetylmorphine,0.83,24.01,(4) Thu,0.01,0.16,(05) May,389,0,29.57,2018-05-17 03:00:00,TP04
46,6-Acetylmorphine,0.54,33.45,(5) Fri,0.0,0.2,(05) May,390,0,37.56,2018-05-18 03:00:00,TP04
47,6-Acetylmorphine,0.17,21.02,(6) Sat,0.0,0.12,(05) May,391,0,21.19,2018-05-19 03:00:00,TP04
48,6-Acetylmorphine,1.04,10.31,(7) Sun,0.01,0.06,(05) May,392,0,10.44,2018-05-20 03:00:00,TP04
49,Oxycodone,3.48,38.76,(1) Mon,0.02,0.25,(07) July,393,0,46.1,2018-07-23 03:00:00,TP04
50,Oxycodone,0.88,38.06,(2) Tue,0.01,0.24,(07) July,394,0,43.39,2018-07-24 03:00:00,TP04
51,Oxycodone,0.73,39.14,(3) Wed,0.0,0.26,(07) July,395,0,48.12,2018-07-25 03:00:00,TP04
52,Oxycodone,1.27,84.32,(4) Thu,0.01,0.55,(07) July,396,0,101.72,2018-07-26 03:00:00,TP04
53,Oxycodone,2.63,45.51,(5) Fri,0.02,0.28,(07) July,397,0,51.25,2018-07-27 03:00:00,TP04
54,Oxycodone,0.79,25.18,(6) Sat,0.0,0.14,(07) July,398,0,25.77,2018-07-28 03:00:00,TP04
55,Oxycodone,1.22,44.24,(7) Sun,0.01,0.24,(07) July,399,0,44.9,2018-07-29 03:00:00,TP04
56,Noroxycodone,0.45,55.53,(1) Mon,0.0,0.36,(07) July,400,0,66.03,2018-07-30 03:00:00,TP04
57,Noroxycodone,5.23,58.43,(2) Tue,0.03,0.36,(07) July,401,0,66.62,2018-07-23 03:00:00,TP04
58,Noroxycodone,3.48,50.92,(3) Wed,0.02,0.34,(07) July,402,0,62.6,2018-07-24 03:00:00,TP04
59,Noroxycodone,0.25,54.1,(4) Thu,0.0,0.36,(07) July,403,0,65.26,2018-07-25 03:00:00,TP04
60,Noroxycodone,5.97,54.59,(5) Fri,0.04,0.34,(07) July,404,0,61.47,2018-07-26 03:00:00,TP04
61,Noroxycodone,0.36,29.04,(6) Sat,0.0,0.16,(07) July,405,0,29.73,2018-07-27 03:00:00,TP04
62,Noroxycodone,0.3,54.92,(7) Sun,0.0,0.3,(07) July,406,0,55.74,2018-07-28 03:00:00,TP04
63,Codeine,3.14,57.53,(1) Mon,0.02,0.37,(07) July,407,0,68.41,2018-07-29 03:00:00,TP04
64,Codeine,0.41,62.27,(2) Tue,0.0,0.39,(07) July,408,0,70.99,2018-07-30 03:00:00,TP04
65,Codeine,0.09,29.45,(3) Wed,0.0,0.2,(07) July,409,0,36.2,2018-07-23 03:00:00,TP04
66,Codeine,6.29,75.35,(4) Thu,0.04,0.5,(07) July,410,0,90.9,2018-07-24 03:00:00,TP04
67,Codeine,5.96,96.19,(5) Fri,0.04,0.59,(07) July,411,0,108.32,2018-07-25 03:00:00,TP04
68,Codeine,0.97,58.37,(6) Sat,0.01,0.33,(07) July,412,0,59.75,2018-07-26 03:00:00,TP04
69,Codeine,7.07,72.56,(7) Sun,0.04,0.4,(07) July,413,0,73.65,2018-07-27 03:00:00,TP04
70,Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(07) July,414,-10000,-9999.99,2018-07-28 03:00:00,TP04
71,Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(07) July,415,-10000,-9999.99,2018-07-29 03:00:00,TP04
72,Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(07) July,416,-10000,-9999.99,2018-07-30 03:00:00,TP04
73,Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(07) July,417,-10000,-9999.99,2018-07-23 03:00:00,TP04
74,Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(07) July,418,-10000,-9999.99,2018-07-24 03:00:00,TP04
75,Fentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(07) July,419,-10000,-9999.99,2018-07-25 03:00:00,TP04
76,Fentanyl,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(07) July,420,-10000,-9999.99,2018-07-26 03:00:00,TP04
77,Norfentanyl,0.6,5.17,(1) Mon,0.0,0.03,(07) July,421,0,6.15,2018-07-27 03:00:00,TP04
78,Norfentanyl,0.92,6.22,(2) Tue,0.01,0.04,(07) July,422,0,7.09,2018-07-28 03:00:00,TP04
79,Norfentanyl,0.36,10.55,(3) Wed,0.0,0.07,(07) July,423,0,12.97,2018-07-29 03:00:00,TP04
80,Norfentanyl,0.41,6.4,(4) Thu,0.0,0.04,(07) July,424,0,7.72,2018-07-30 03:00:00,TP04
81,Norfentanyl,0.02,3.45,(5) Fri,0.0,0.02,(07) July,425,0,3.89,2018-07-23 03:00:00,TP04
82,Norfentanyl,0.07,3.31,(6) Sat,0.0,0.02,(07) July,426,0,3.39,2018-07-24 03:00:00,TP04
83,Norfentanyl,0.04,0.8,(7) Sun,0.0,0.0,(07) July,427,0,0.81,2018-07-25 03:00:00,TP04
84,Heroin,2.02,20.61,(1) Mon,0.01,0.13,(07) July,428,0,24.51,2018-07-26 03:00:00,TP04
85,Heroin,2.29,24.29,(2) Tue,0.01,0.15,(07) July,429,0,27.7,2018-07-27 03:00:00,TP04
86,Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(07) July,430,-10000,-9999.99,2018-07-28 03:00:00,TP04
87,Heroin,0.05,24.53,(4) Thu,0.0,0.16,(07) July,431,0,29.6,2018-07-29 03:00:00,TP04
88,Heroin,3.48,30.39,(5) Fri,0.02,0.19,(07) July,432,0,34.22,2018-07-30 03:00:00,TP04
89,Heroin,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(07) July,433,-10000,-9999.99,2018-07-23 03:00:00,TP04
90,Heroin,2.95,19.73,(7) Sun,0.02,0.11,(07) July,434,0,20.02,2018-07-24 03:00:00,TP04
91,6-Acetylmorphine,2.33,25.96,(1) Mon,0.02,0.17,(07) July,435,0,30.87,2018-07-25 03:00:00,TP04
92,6-Acetylmorphine,1.8,40.45,(2) Tue,0.01,0.25,(07) July,436,0,46.12,2018-07-26 03:00:00,TP04
93,6-Acetylmorphine,0.19,18.18,(3) Wed,0.0,0.12,(07) July,437,0,22.35,2018-07-27 03:00:00,TP04
94,6-Acetylmorphine,0.65,31.66,(4) Thu,0.0,0.21,(07) July,438,0,38.19,2018-07-28 03:00:00,TP04
95,6-Acetylmorphine,2.39,49.99,(5) Fri,0.01,0.31,(07) July,439,0,56.29,2018-07-29 03:00:00,TP04
96,6-Acetylmorphine,5.37,121.64,(6) Sat,0.03,0.68,(07) July,440,0,124.52,2018-07-30 03:00:00,TP04
97,6-Acetylmorphine,0.81,23.01,(7) Sun,0.0,0.13,(07) July,441,0,23.36,2018-07-23 03:00:00,TP04
98,Oxycodone,1.22,33.72,(1) Mon,0.01,0.21,(08) August,442,0,38.0,2018-08-20 03:00:00,TP04
99,Oxycodone,1.83,32.01,(2) Tue,0.01,0.19,(08) August,443,0,35.38,2018-08-21 03:00:00,TP04
100,Oxycodone,2.21,31.93,(3) Wed,0.01,0.2,(08) August,444,0,36.32,2018-08-22 03:00:00,TP04
101,Oxycodone,1.43,28.36,(4) Thu,0.01,0.18,(08) August,445,0,32.42,2018-08-23 03:00:00,TP04
102,Oxycodone,1.09,27.56,(5) Fri,0.01,0.16,(08) August,446,0,29.51,2018-08-24 03:00:00,TP04
103,Oxycodone,1.52,22.97,(6) Sat,0.01,0.13,(08) August,447,0,23.91,2018-08-25 03:00:00,TP04
104,Oxycodone,0.73,17.87,(7) Sun,0.0,0.09,(08) August,448,0,16.65,2018-08-27 03:00:00,TP04
105,Noroxycodone,5.35,46.34,(1) Mon,0.03,0.28,(08) August,449,0,52.21,2018-08-20 03:00:00,TP04
106,Noroxycodone,0.9,42.58,(2) Tue,0.01,0.26,(08) August,450,0,47.07,2018-08-21 03:00:00,TP04
107,Noroxycodone,1.46,40.48,(3) Wed,0.01,0.25,(08) August,451,0,46.05,2018-08-22 03:00:00,TP04
108,Noroxycodone,1.87,43.44,(4) Thu,0.01,0.27,(08) August,452,0,49.66,2018-08-23 03:00:00,TP04
109,Noroxycodone,0.48,43.31,(5) Fri,0.0,0.25,(08) August,453,0,46.38,2018-08-24 03:00:00,TP04
110,Noroxycodone,6.11,29.89,(6) Sat,0.03,0.17,(08) August,454,0,31.11,2018-08-25 03:00:00,TP04
111,Noroxycodone,1.58,27.89,(7) Sun,0.01,0.14,(08) August,455,0,25.98,2018-08-27 03:00:00,TP04
112,Codeine,0.6,46.33,(1) Mon,0.0,0.28,(08) August,456,0,52.2,2018-08-20 03:00:00,TP04
113,Codeine,1.91,51.4,(2) Tue,0.01,0.31,(08) August,457,0,56.82,2018-08-21 03:00:00,TP04
114,Codeine,2.81,33.7,(3) Wed,0.02,0.21,(08) August,458,0,38.34,2018-08-22 03:00:00,TP04
115,Codeine,1.71,26.98,(4) Thu,0.01,0.17,(08) August,459,0,30.85,2018-08-23 03:00:00,TP04
116,Codeine,0.38,28.55,(5) Fri,0.0,0.17,(08) August,460,0,30.58,2018-08-24 03:00:00,TP04
117,Codeine,1.54,25.13,(6) Sat,0.01,0.14,(08) August,461,0,26.16,2018-08-25 03:00:00,TP04
118,Codeine,1.66,28.26,(7) Sun,0.01,0.14,(08) August,462,0,26.32,2018-08-27 03:00:00,TP04
119,Fentanyl,0.11,2.59,(1) Mon,0.0,0.02,(08) August,463,0,2.92,2018-08-20 03:00:00,TP04
120,Fentanyl,0.05,2.97,(2) Tue,0.0,0.02,(08) August,464,0,3.28,2018-08-21 03:00:00,TP04
121,Fentanyl,0.48,5.57,(3) Wed,0.0,0.03,(08) August,465,0,6.34,2018-08-22 03:00:00,TP04
122,Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(08) August,466,-10000,-9999.99,2018-08-23 03:00:00,TP04
123,Fentanyl,0.07,2.61,(5) Fri,0.0,0.02,(08) August,467,0,2.79,2018-08-24 03:00:00,TP04
124,Fentanyl,0.29,5.62,(6) Sat,0.0,0.03,(08) August,468,0,5.85,2018-08-25 03:00:00,TP04
125,Fentanyl,0.38,3.86,(7) Sun,0.0,0.02,(08) August,469,0,3.6,2018-08-27 03:00:00,TP04
126,Norfentanyl,0.1,6.02,(1) Mon,0.0,0.04,(08) August,470,0,6.78,2018-08-20 03:00:00,TP04
127,Norfentanyl,0.06,5.82,(2) Tue,0.0,0.04,(08) August,471,0,6.43,2018-08-21 03:00:00,TP04
128,Norfentanyl,0.45,5.6,(3) Wed,0.0,0.03,(08) August,472,0,6.37,2018-08-22 03:00:00,TP04
129,Norfentanyl,0.44,3.42,(4) Thu,0.0,0.02,(08) August,473,0,3.91,2018-08-23 03:00:00,TP04
130,Norfentanyl,0.41,4.47,(5) Fri,0.0,0.03,(08) August,474,0,4.79,2018-08-24 03:00:00,TP04
131,Norfentanyl,0.06,6.38,(6) Sat,0.0,0.04,(08) August,475,0,6.64,2018-08-25 03:00:00,TP04
132,Norfentanyl,0.57,6.51,(7) Sun,0.0,0.03,(08) August,476,0,6.06,2018-08-27 03:00:00,TP04
133,Heroin,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(08) August,477,-10000,-9999.99,2018-08-20 03:00:00,TP04
134,Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(08) August,478,-10000,-9999.99,2018-08-21 03:00:00,TP04
135,Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(08) August,479,-10000,-9999.99,2018-08-22 03:00:00,TP04
136,Heroin,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(08) August,480,-10000,-9999.99,2018-08-23 03:00:00,TP04
137,Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(08) August,481,-10000,-9999.99,2018-08-24 03:00:00,TP04
138,Heroin,1.08,68.81,(6) Sat,0.01,0.39,(08) August,482,0,71.62,2018-08-25 03:00:00,TP04
139,Heroin,6.91,63.14,(7) Sun,0.04,0.32,(08) August,483,0,58.82,2018-08-27 03:00:00,TP04
140,6-Acetylmorphine,1.77,26.1,(1) Mon,0.01,0.16,(08) August,484,0,29.41,2018-08-20 03:00:00,TP04
141,6-Acetylmorphine,1.15,27.87,(2) Tue,0.01,0.17,(08) August,485,0,30.8,2018-08-21 03:00:00,TP04
142,6-Acetylmorphine,3.24,22.26,(3) Wed,0.02,0.14,(08) August,486,0,25.33,2018-08-22 03:00:00,TP04
143,6-Acetylmorphine,0.36,10.31,(4) Thu,0.0,0.06,(08) August,487,0,11.79,2018-08-23 03:00:00,TP04
144,6-Acetylmorphine,0.02,32.54,(5) Fri,0.0,0.19,(08) August,488,0,34.85,2018-08-24 03:00:00,TP04
145,6-Acetylmorphine,0.79,36.54,(6) Sat,0.0,0.21,(08) August,489,0,38.03,2018-08-25 03:00:00,TP04
146,6-Acetylmorphine,3.85,45.21,(7) Sun,0.02,0.23,(08) August,490,0,42.12,2018-08-27 03:00:00,TP04
147,Oxycodone,2.95,32.83,(1) Mon,0.02,0.19,(09) September,491,0,35.63,2018-09-10 03:00:00,TP04
148,Oxycodone,2.22,34.73,(2) Tue,0.01,0.22,(09) September,492,0,39.96,2018-09-11 03:00:00,TP04
