,Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,OBJECTID,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site
0,Oxycodone,5.33,66.98,(1) Mon,0.0,0.05,(05) May,687,0,16.0,1526281200000,TP05
1,Oxycodone,1.37,59.28,(2) Tue,0.0,0.04,(05) May,688,0,14.0,1526367600000,TP05
2,Oxycodone,12.73,109.41,(3) Wed,0.01,0.07,(05) May,689,0,26.0,1526454000000,TP05
3,Oxycodone,0.1,28.1,(4) Thu,0.0,0.02,(05) May,690,0,6.0,1526540400000,TP05
4,Oxycodone,5.94,81.24,(5) Fri,0.0,0.05,(05) May,691,0,17.0,1526626800000,TP05
5,Oxycodone,2.08,59.84,(6) Sat,0.0,0.02,(05) May,692,0,8.0,1526713200000,TP05
6,Oxycodone,1.55,19.27,(7) Sun,0.0,0.01,(05) May,693,0,2.0,1526799600000,TP05
7,Noroxycodone,1.63,91.17,(1) Mon,0.0,0.06,(05) May,694,0,22.0,1526281200000,TP05
8,Noroxycodone,6.07,81.99,(2) Tue,0.0,0.06,(05) May,695,0,20.0,1526367600000,TP05
9,Noroxycodone,5.64,137.93,(3) Wed,0.0,0.09,(05) May,696,0,32.0,1526454000000,TP05
10,Noroxycodone,3.0,34.59,(4) Thu,0.0,0.02,(05) May,697,0,8.0,1526540400000,TP05
11,Noroxycodone,2.65,96.33,(5) Fri,0.0,0.06,(05) May,698,0,21.0,1526626800000,TP05
12,Noroxycodone,1.84,57.87,(6) Sat,0.0,0.02,(05) May,699,0,7.0,1526713200000,TP05
13,Noroxycodone,0.93,23.1,(7) Sun,0.0,0.01,(05) May,700,0,2.0,1526799600000,TP05
14,Codeine,24.64,166.18,(1) Mon,0.02,0.11,(05) May,701,0,40.0,1526281200000,TP05
15,Codeine,26.82,122.64,(2) Tue,0.02,0.08,(05) May,702,0,30.0,1526367600000,TP05
16,Codeine,22.63,126.94,(3) Wed,0.01,0.08,(05) May,703,0,30.0,1526454000000,TP05
17,Codeine,5.13,27.09,(4) Thu,0.0,0.02,(05) May,704,0,6.0,1526540400000,TP05
18,Codeine,17.41,109.42,(5) Fri,0.01,0.07,(05) May,705,0,23.0,1526626800000,TP05
19,Codeine,8.72,77.24,(6) Sat,0.0,0.03,(05) May,706,0,10.0,1526713200000,TP05
20,Codeine,1.44,46.3,(7) Sun,0.0,0.01,(05) May,707,0,5.0,1526799600000,TP05
21,Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,708,-10000,-9999.99,1526281200000,TP05
22,Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(05) May,709,-10000,-9999.99,1526367600000,TP05
23,Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,710,-10000,-9999.99,1526454000000,TP05
24,Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,711,-10000,-9999.99,1526540400000,TP05
25,Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(05) May,712,-10000,-9999.99,1526626800000,TP05
